dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,ours,1.0,6,0.2964043826623261,0.6818181818181818,0.007113950266787189,1.4482139616865444,0.3636363636363636,0.5324458661264123,0.09233664728204828,26080,3.56,2026-05-11 00:39:11
Chamelon,ours,1.0,7,0.292905883063222,0.5909090909090909,0.003988318681263477,1.4635734960926572,0.3636363636363636,0.4998295068314249,0.01892761887234042,24322,3.41,2026-05-11 00:39:15
Chamelon,ours,1.0,8,0.2951839103016305,0.9090909090909091,0.003617780676668693,1.505975068116325,0.3636363636363636,0.4998421719523614,0.03544828557962435,26589,3.84,2026-05-11 00:39:19
Chamelon,ours,1.0,9,0.2897633137172832,0.7272727272727273,0.004271571164011243,1.6121739730216835,0.4545454545454545,0.6236943695408163,0.017290163952337238,24422,3.41,2026-05-11 00:39:22
Chamelon,ours,1.5,0,0.2955272806616673,0.8636363636363636,0.004127034882617901,1.6612210629390205,0.3636363636363636,0.28505894042382257,0.14301946995220266,27545,4.04,2026-05-11 00:39:26
Chamelon,ours,1.5,1,0.2922793318115292,0.8636363636363636,0.005571971626098254,1.2261493522147056,0.3636363636363636,0.4772603074140571,0.03423557862050684,27125,4.1,2026-05-11 00:39:30
Chamelon,ours,1.5,2,0.33935841496548047,0.7272727272727273,0.0030629600384423318,1.3793665390498493,0.4545454545454545,0.20562635300022794,0.11129389173316698,27811,4.17,2026-05-11 00:39:34
Chamelon,ours,1.5,3,0.29145439454687927,0.7727272727272727,0.005390283702382268,1.4551944484187014,0.3636363636363636,0.38485177971243506,0.11842688599406816,27259,4.05,2026-05-11 00:39:38
Chamelon,ours,1.5,4,0.28899178266057324,0.7272727272727273,0.005187237025530127,1.4103423349375017,0.3636363636363636,0.1540452430108695,0.2434081963087493,28970,4.46,2026-05-11 00:39:43
Chamelon,ours,1.5,5,0.3005217873427592,0.9090909090909091,0.002762467201056787,1.4926331271064888,0.4545454545454545,0.09548760519700618,0.18692499829271791,28157,4.28,2026-05-11 00:39:47
Chamelon,ours,1.5,6,0.3006184263795471,0.8636363636363636,0.005461136068654106,1.2895515651541896,0.3636363636363636,0.35198987202246135,0.08617819646722444,27755,4.09,2026-05-11 00:39:51
Chamelon,ours,1.5,7,0.3176900432883069,0.8636363636363636,0.004338539888033918,1.4121528489412885,0.4545454545454545,0.1685149893892936,0.11717760762925912,28333,4.31,2026-05-11 00:39:56
Chamelon,ours,1.5,8,0.29951036951532095,0.8181818181818182,0.004229524241090738,1.3562574906117484,0.3636363636363636,0.4466200726951949,0.00898249854465253,27151,4.05,2026-05-11 00:40:00
Chamelon,ours,1.5,9,0.3206251859527509,0.9090909090909091,0.002692206620045469,1.361188009686912,0.4545454545454545,0.3016671751012757,0.0779214504505065,27584,4.0,2026-05-11 00:40:04
Chamelon,ours,2.0,0,0.30541122608886995,0.7272727272727273,0.005622651456799975,1.3942905587412113,0.2727272727272727,0.20510741048856238,0.25907776852748526,27938,4.37,2026-05-11 00:40:08
Chamelon,ours,2.0,1,0.34759311122071046,0.8636363636363636,0.0027214811517874502,1.3980491579438656,0.4545454545454545,0.2619340897212942,0.07620158003510143,27918,4.28,2026-05-11 00:40:12
Chamelon,ours,2.0,2,0.27478967177933517,0.8181818181818182,0.003480557998114116,1.1388210487906973,0.3636363636363636,0.10850063328365804,0.2130646523998129,29672,4.81,2026-05-11 00:40:17
Chamelon,ours,2.0,3,0.29274646142950134,0.7727272727272727,0.004515730701660259,1.4407395218337995,0.4545454545454545,0.28658424798157867,0.09258375296966985,28015,4.31,2026-05-11 00:40:21
