dataset,scheme,e1_r,e2_r,e3_r,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,comm_n,time_sec,timestamp
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,2,0.34658012041177644,0.6755952380952381,0.006301384322548408,1.5532940904995105,0.0,2.940686759918931,0.3094050630355404,153882,13,261.47,2026-05-12 19:23:40
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,3,0.33373110207363693,0.4017857142857143,0.006896478393311882,1.4482734770535557,0.0,2.8798506227560545,0.4104114949938861,157881,13,216.75,2026-05-12 19:23:57
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,4,0.3501539657970779,0.8273809523809523,0.0061086960573760755,1.5565298387728344,0.07692307692307691,2.997295833433856,0.2091408907227004,143402,16,172.33,2026-05-12 19:26:13
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,5,0.34472682069695676,0.7261904761904762,0.007352824790469753,1.5450452301608888,0.07692307692307691,3.1828983503848867,0.33788440182319845,159832,14,279.21,2026-05-12 19:28:20
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,6,0.33926019226882836,0.6160714285714286,0.00660810256624556,1.4977124662689945,0.15384615384615383,2.8971722149713184,0.3518045994458835,156146,13,293.12,2026-05-12 19:28:50
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,7,0.337433423596056,0.5505952380952381,0.006874378354157685,1.516635908671178,0.07692307692307691,2.83221515246804,0.3728218581690482,150552,13,219.14,2026-05-12 19:29:52
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,8,0.3449669492483341,0.6785714285714286,0.006852901416099212,1.4949246405152576,0.07692307692307691,2.8212445207271477,0.3331597176618809,159434,12,208.35,2026-05-12 19:31:48
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.5,9,0.3413620901718667,0.6488095238095238,0.006812574947363484,1.5050505091605875,0.0,2.950671776008909,0.3428907838830369,156479,14,212.54,2026-05-12 19:32:22
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,0,0.3435978761618159,0.6517857142857143,0.0052408669835491625,1.28384153572255,0.07692307692307691,1.9307965009393993,0.2845944563061203,165102,12,209.04,2026-05-12 19:33:21
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,1,0.3474883588619119,0.6488095238095238,0.0040562614609643815,1.2886554658106248,0.07692307692307691,1.6942473510575196,0.25031113837326746,166581,12,233.42,2026-05-12 19:35:42
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,2,0.343924300230895,0.7261904761904762,0.004962449522135015,1.3029403523197498,0.15384615384615383,1.7905727666179332,0.29710621019249306,168984,11,226.55,2026-05-12 19:36:09
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,3,0.34998250893582655,0.8333333333333334,0.00343498223747109,1.3320299717278112,0.07692307692307691,1.4182852358322617,0.16471537400562977,171273,11,190.81,2026-05-12 19:36:32
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,4,0.34335631538586214,0.7351190476190477,0.005034976837449182,1.3423403729323051,0.07692307692307691,1.7726910923843124,0.2748593924130482,168902,11,132.22,2026-05-12 19:37:54
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,5,0.35150531476449814,0.8005952380952381,0.002888598710287803,1.361126454211248,0.07692307692307691,1.399676225219718,0.11222996713929358,172701,13,135.85,2026-05-12 19:38:25
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,6,0.34912063886010997,0.7708333333333334,0.003861988888415245,1.4064078255724637,0.07692307692307691,1.7471821689770197,0.16540367421361532,160965,13,137.29,2026-05-12 19:38:49
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,7,0.34690783531230635,0.7291666666666666,0.003930885446953624,1.2846613463797458,0.15384615384615383,1.6055186072049057,0.232203427329836,171001,11,136.31,2026-05-12 19:40:10
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,8,0.33876566297548466,0.625,0.004782746117905077,1.2696810030376966,0.15384615384615383,1.6139646243664547,0.3066104447581853,171786,11,135.62,2026-05-12 19:40:41
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.5,9,0.34725944719237084,0.7440476190476191,0.004054890798895531,1.3343969425882107,0.07692307692307691,1.5832877322190266,0.1837687695078659,168305,12,136.63,2026-05-12 19:41:06
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,0,0.3423403393227347,0.6101190476190477,0.00393082199673268,1.253983282516381,0.15384615384615383,1.8305804260705243,0.29823457341996223,168630,14,128.57,2026-05-12 19:42:19
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,1,0.34591970576420933,0.7886904761904762,0.004121047904736017,1.2324491523896453,0.0,1.8520077274037878,0.24540502921643856,166064,14,136.52,2026-05-12 19:42:57
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,2,0.35552637899702055,0.8035714285714286,0.0020297100102219406,1.305287729675402,0.0,1.1496338825846353,0.012047582945108045,173500,13,137.1,2026-05-12 19:43:23
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,3,0.3455701679208509,0.7708333333333334,0.0037609959003164608,1.208553878273242,0.0,1.571608330683325,0.2286353124998086,169920,13,133.05,2026-05-12 19:44:32
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,4,0.3551672793462027,0.8154761904761905,0.0022563969747324713,1.3417694906929452,0.15384615384615383,1.3093804963655362,0.035389830161902475,165314,14,135.81,2026-05-12 19:45:13
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,5,0.3372369173002392,0.49702380952380953,0.00401825353392619,1.238845465389449,0.07692307692307691,1.9294631179890258,0.33900699079792596,165022,13,139.63,2026-05-12 19:45:42
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,6,0.34622978920671593,0.7202380952380952,0.0037310161855738707,1.1979558757770277,0.15384615384615383,1.6333727191165632,0.21720898425111304,165478,13,131.52,2026-05-12 19:46:43
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,7,0.3588832512888648,0.8273809523809523,0.0016914700887673076,1.3592473192863361,0.07692307692307691,1.1100141946805107,0.022892248903620856,166435,14,134.68,2026-05-12 19:47:28
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,8,0.3492385285384356,0.7797619047619048,0.002809280487545244,1.2929584248227135,0.07692307692307691,1.4352243404548972,0.1300229971602112,169644,13,137.94,2026-05-12 19:48:00
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.0,9,0.3504807974699524,0.7767857142857143,0.002660451445222472,1.300265005198438,0.07692307692307691,1.1841338947171351,0.10236795010491169,171555,12,136.02,2026-05-12 19:48:59
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.5,0,0.3497309206752063,0.5922619047619048,0.001997268563633907,1.1322257171697643,0.15384615384615383,1.0427177854697047,0.1546110846768638,171006,10,138.72,2026-05-12 19:49:46
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.5,1,0.34291117539616445,0.7232142857142857,0.00379565125440822,1.1674446920599908,0.15384615384615383,1.2623872973498969,0.20681207811375052,172120,12,132.67,2026-05-12 19:50:13
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,3.5,2,0.3583615147058223,0.7946428571428571,0.0011002203519520557,1.2410458753949165,0.15384615384615383,0.5412293906513996,0.10965525460226593,173536,11,131.47,2026-05-12 19:51:11
