dataset,eps,intra_ratio,inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.2,0.8,2,0.13639404355609194,0.0,0.06201127246479956,5.175289271374711,0.6363636363636362,0.27776403950322653,0.2511280533815892,4806
Chamelon,0.5,0.2,0.8,3,0.1382734599804323,0.045454545454545456,0.056824980550516595,4.181290498239569,0.1818181818181818,0.27843612167316084,0.2051353019965534,5566
Chamelon,0.5,0.2,0.8,4,0.1523814045531345,0.5,0.024796398604477368,3.2084924509288846,2.1818181818181817,0.1985991728097921,0.029443865213121753,7701
Chamelon,0.5,0.2,0.9,0,0.14867104432724193,0.045454545454545456,0.0574881273658269,4.400145272288552,0.1818181818181818,0.263728466260762,0.21640587858981372,6060
Chamelon,0.5,0.2,0.9,1,0.14976732508919632,0.18181818181818182,0.04050805462913573,4.912699953591202,0.2727272727272727,0.3439231663416446,0.19832203668228224,5251
Chamelon,0.5,0.2,0.9,2,0.1320843340247376,0.045454545454545456,0.049073702053807594,4.9437912600217775,0.4545454545454545,0.3871098320422483,0.2065720019255712,5266
Chamelon,0.5,0.2,0.9,3,0.15037204903288867,0.2727272727272727,0.047360844916428495,4.046901419904682,0.2727272727272727,0.21073524872092034,0.1873318165388975,6370
Chamelon,0.5,0.2,0.9,4,0.16505769755599292,0.4090909090909091,0.03885032980027095,2.9593116416399297,0.0,0.026880469003605367,0.1310413999600798,8440
Chamelon,0.5,0.2,1.0,0,0.15346720108734727,0.22727272727272727,0.03590822350779827,3.5289212468713735,0.1818181818181818,0.15399926478943424,0.12854088879463915,6754
Chamelon,0.5,0.2,1.0,1,0.1324380002202466,0.13636363636363635,0.05035249369370722,4.403443121489004,0.1818181818181818,0.24422444290481637,0.23538302290455262,6100
Chamelon,0.5,0.2,1.0,2,0.1328747992954796,0.13636363636363635,0.059112344771936075,4.563528889789756,0.3636363636363636,0.2711396230625549,0.24298783532576818,5722
Chamelon,0.5,0.2,1.0,3,0.13744088993558318,0.045454545454545456,0.05830930879217458,4.408740474271693,0.1818181818181818,0.2082310534994961,0.2316032607735634,6053
Chamelon,0.5,0.2,1.0,4,0.1393895572523385,0.09090909090909091,0.05841684154508882,4.493033931826382,0.7272727272727272,0.22844186943506736,0.20482199658646263,5340
Chamelon,0.5,0.3,0.1,0,0.13326747130223138,0.2727272727272727,0.049016000428661825,3.842511468980948,0.2727272727272727,0.26570420498852737,0.16443425041766233,6496
Chamelon,0.5,0.3,0.1,1,0.1116233116101137,0.36363636363636365,0.04659334237203162,4.04158082363506,0.0909090909090909,0.16253696972637552,0.20358559638974733,6239
Chamelon,0.5,0.3,0.1,2,0.11575899425679796,0.22727272727272727,0.06018282155943857,4.771611238022771,0.1818181818181818,0.35821269786393906,0.2552584983615642,5645
Chamelon,0.5,0.3,0.1,3,0.10420021215842429,0.0,0.06405816647254367,4.583535034235844,0.4545454545454545,0.40474930844111406,0.26029308704146503,5116
Chamelon,0.5,0.3,0.1,4,0.12489289912513996,0.045454545454545456,0.047158999831071594,3.9399644006219035,0.2727272727272727,0.2877365465449552,0.20796221099481746,6415
Chamelon,0.5,0.3,0.2,0,0.1173493907990179,0.045454545454545456,0.04888687188351024,3.9989548025851644,0.0909090909090909,0.2668420842500017,0.19899798832848414,6233
Chamelon,0.5,0.3,0.2,1,0.11247472434404036,0.2727272727272727,0.06469221687983594,4.151558257393946,0.0909090909090909,0.3988606446217375,0.2145329173867848,5831
Chamelon,0.5,0.3,0.2,2,0.14510237744847898,0.18181818181818182,0.03516289837347703,3.369709408585267,0.0909090909090909,0.27655134659470804,0.16475316738739787,7862
Chamelon,0.5,0.3,0.2,3,0.15860369319236514,0.09090909090909091,0.02688244081208307,3.0349242523543563,0.0909090909090909,0.32719417268596096,0.0029770620645429295,9153
Chamelon,0.5,0.3,0.2,4,0.12459252790326293,0.2727272727272727,0.057396304421849176,4.062168375724208,0.0,0.28641384203887427,0.20746743455327707,6313
Chamelon,0.5,0.3,0.3,0,0.13993666305334668,0.13636363636363635,0.05218638834780432,3.962755415414211,0.1818181818181818,0.2904530851370504,0.2178584688375318,5831
Chamelon,0.5,0.3,0.3,1,0.11486664042662624,0.0,0.057953729730711216,4.894517266328549,0.0,0.331564335577784,0.21905342055209212,6067
Chamelon,0.5,0.3,0.3,2,0.10763895764318371,0.22727272727272727,0.05075433457306843,4.88641050507966,0.6363636363636362,0.3755586827807647,0.22358491218695217,5581
Chamelon,0.5,0.3,0.3,3,0.13243866547911437,0.18181818181818182,0.047720966666523236,4.497009154153597,0.2727272727272727,0.31672203729060966,0.1610640270789854,5967
Chamelon,0.5,0.3,0.3,4,0.10694822821767115,0.13636363636363635,0.05425273938842295,4.5768910071831215,0.3636363636363636,0.36804946727495647,0.24477510017904885,6044
Chamelon,0.5,0.3,0.4,0,0.14458358290420373,0.36363636363636365,0.0342539123347444,3.574960401435838,0.0909090909090909,0.2951558329968854,0.12389651864959343,7115
Chamelon,0.5,0.3,0.4,1,0.13114946155618842,0.13636363636363635,0.04814361514046012,3.897391643162608,0.0909090909090909,0.3323417826012985,0.19093829852856897,7032
Chamelon,0.5,0.3,0.4,2,0.12500941862354956,0.0,0.0573072652245418,4.816304847218225,0.4545454545454545,0.3607508505945861,0.23939109149327994,5733
Chamelon,0.5,0.3,0.4,3,0.12400624817903697,0.13636363636363635,0.04851112473316444,4.879529508577994,0.3636363636363636,0.31108194953602875,0.19005849476833747,5740
