epsilon,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.3,0.4,0.3,4.0,0.30442189367957667,0.9545454545454546,0.003561051591852275,1.2401787608936918,0.3636363636363636,0.029333390600615745,0.21377715864764377
2.0,0.3,0.4,0.3,5.0,0.33931711163748807,0.9090909090909091,0.002465349738071476,1.420156770226447,0.1818181818181818,0.12917353557244782,0.11766947559105799
2.0,0.3,0.4,0.3,6.0,0.35138634078044784,0.8636363636363636,0.002318214422679663,1.2019121686050507,0.3636363636363636,0.06998267516751383,0.11491784678153234
2.0,0.3,0.4,0.3,7.0,0.3747942648918145,0.9545454545454546,0.0015320154014003009,1.189521679749726,0.3636363636363636,0.06623680876952004,0.1024071946304971
2.0,0.3,0.4,0.3,8.0,0.3467503588247308,0.8181818181818182,0.0018253129303450353,1.5738696617054138,0.2727272727272727,0.17388949077556268,0.11753281375745696
2.0,0.3,0.4,0.3,9.0,0.3316034074741686,0.5,0.0024672982858538225,1.5075859412459507,0.4545454545454545,0.06371688277261306,0.14239972432446343
2.0,0.3,0.5,0.2,0.0,0.30778137886111423,0.7272727272727273,0.008355536110322198,1.562366819512773,0.3636363636363636,0.21611090510732747,0.5557939433561834
2.0,0.3,0.5,0.2,1.0,0.3549991438077091,0.8181818181818182,0.0019149758077329126,1.4542088298557272,0.0909090909090909,0.13860690729814024,0.11044983839453748
2.0,0.3,0.5,0.2,2.0,0.32654295506050024,0.8636363636363636,0.0017628263287028064,1.2526865218031444,0.3636363636363636,0.06673569555533382,0.11228756689315673
2.0,0.3,0.5,0.2,3.0,0.3056527208430899,0.8636363636363636,0.0025773343842371674,1.0734888990135232,0.2727272727272727,0.002960640053417155,0.255077174275153
2.0,0.3,0.5,0.2,4.0,0.33561536444493417,0.8636363636363636,0.00266816104352125,1.2933120605471222,0.2727272727272727,0.10509638744824637,0.13041313402088722
2.0,0.3,0.5,0.2,5.0,0.3711125609974731,0.8636363636363636,0.0012565369500655325,1.364810780875108,0.2727272727272727,0.0744318725010633,0.10694368223646823
2.0,0.3,0.5,0.2,6.0,0.36194327225553213,0.8636363636363636,0.0017047491311067003,1.2472120128603872,0.2727272727272727,0.12856392517726367,0.09735158589047663
2.0,0.3,0.5,0.2,7.0,0.3118501457324423,0.6818181818181818,0.009224391572864421,1.3576282229087213,0.0909090909090909,0.09367928490030396,0.432939203420336
2.0,0.3,0.5,0.2,8.0,0.35203888961606156,0.8636363636363636,0.003144769839228156,1.389073053029155,0.3636363636363636,0.021634116981384382,0.11492714869716184
2.0,0.3,0.5,0.2,9.0,0.3479999101096852,0.9090909090909091,0.004287796126151908,1.1791302263308945,0.4545454545454545,0.041807596265728476,0.15609526439866692
2.0,0.3,0.6,0.1,0.0,0.3358084680658978,0.8636363636363636,0.002694101502555103,1.5403547309008812,0.1818181818181818,0.1749251985182878,0.15452761777390928
2.0,0.3,0.6,0.1,1.0,0.353672321481481,0.6818181818181818,0.00826263420632219,1.5476330593702183,0.1818181818181818,0.1719442186157019,0.274486598367659
2.0,0.3,0.6,0.1,2.0,0.34744467444755733,0.8636363636363636,0.0056831900919670116,1.5860342830210743,0.3636363636363636,0.019780316810297103,0.21853758614023502
2.0,0.3,0.6,0.1,3.0,0.3754424922484491,0.9090909090909091,0.002752305267952168,1.480121299282728,0.3636363636363636,0.0824451308597657,0.10811917567042957
2.0,0.3,0.6,0.1,4.0,0.39016173391647946,0.8636363636363636,0.003524072883356556,1.400894917309569,0.3636363636363636,0.057653299054255244,0.11111518120448866
2.0,0.3,0.6,0.1,5.0,0.33337563321229385,0.7272727272727273,0.0020900101001765704,1.24440949763834,0.2727272727272727,0.09628307640175168,0.26678339143610297
2.0,0.3,0.6,0.1,6.0,0.37754484995897414,0.8636363636363636,0.0021976898098297042,1.27165865617409,0.3636363636363636,0.011934277160929123,0.09972874979293386
2.0,0.3,0.6,0.1,7.0,0.3691322616617031,0.8181818181818182,0.00403557383474946,1.3535190559565293,0.3636363636363636,0.06770918594779508,0.1051048080741494
2.0,0.3,0.6,0.1,8.0,0.32790898527060075,0.9090909090909091,0.00568260802428544,1.459057491085039,0.0909090909090909,0.1786924502421156,0.43577615768288563
2.0,0.3,0.6,0.1,9.0,0.35169192689623174,0.7727272727272727,0.006592494557259048,1.3826172787045015,0.4545454545454545,0.11023832328762313,0.3205253984298248
2.0,0.4,0.2,0.4,0.0,0.3148041103126973,0.8181818181818182,0.0016888867873227542,1.2324830166843335,0.2727272727272727,0.15258483105344264,0.12934388841877917
2.0,0.4,0.2,0.4,1.0,0.3004725262937511,0.8181818181818182,0.0009630155723050135,1.4673807697875398,0.3636363636363636,0.16742904475906067,0.14567149439871394
2.0,0.4,0.2,0.4,2.0,0.2701067134121901,0.7272727272727273,0.0008509468295620562,1.4232278740439028,0.1818181818181818,0.2878716877921348,0.1410643731677406
2.0,0.4,0.2,0.4,3.0,0.2799574634192275,0.7272727272727273,0.0009717618873486752,1.5403267716173277,0.0909090909090909,0.3485797148807033,0.11731286740887681
2.0,0.4,0.2,0.4,4.0,0.298402539970112,0.7727272727272727,0.001762165479164793,1.550256274240691,0.1818181818181818,0.29535019877377106,0.12666650917394712
2.0,0.4,0.2,0.4,5.0,0.26757512885280305,0.8181818181818182,0.0016036475909299403,1.4933773365991185,0.2727272727272727,0.0456190487009847,0.2737556094373652
2.0,0.4,0.2,0.4,6.0,0.27907367046101134,0.7727272727272727,0.0011137050242844477,1.4034929600251362,0.3636363636363636,0.1266215303975075,0.13931452312142778
2.0,0.4,0.2,0.4,7.0,0.2875817450311909,0.8181818181818182,0.002627272512906044,1.2480460433506595,0.3636363636363636,0.07942101458502474,0.2368752260191218
2.0,0.4,0.2,0.4,8.0,0.2564165067510968,0.9090909090909091,0.0035751762796689887,1.3125497372479666,0.4545454545454545,0.2651919606698898,0.34016520992946314
2.0,0.4,0.2,0.4,9.0,0.30793184075243996,0.8181818181818182,0.001003441976026979,1.6805209838954385,0.0,0.20835327431251763,0.15049781434211024
2.0,0.4,0.3,0.3,0.0,0.2729703245106661,0.9545454545454546,0.0035722817002239084,1.391558389178527,0.1818181818181818,0.030730115497439592,0.2996148531080583
