inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.2,21,0.32673561499292675,0.8181818181818182,0.0018653891269792007,1.482096458165517,0.3636363636363636,0.05804585855513416,0.09520778320265522,23425
0.3,21,0.32047197367505675,0.9090909090909091,0.0016878082504126952,1.5896393179766668,0.0909090909090909,0.24386054584358696,0.12604384648264885,19928
0.05,22,0.34630520433101347,0.9090909090909091,0.005117675640945073,1.2460495737624837,0.0909090909090909,0.030676630227150732,0.31446343347772204,21589
0.1,22,0.3435342139432299,0.8636363636363636,0.0026006969716103794,1.5647654582498867,0.3636363636363636,0.0961338193534805,0.0760000070748471,22820
0.15,22,0.3452356075643735,0.9090909090909091,0.0012156912066882029,1.6086668462141078,0.0,0.2743114519561123,0.06638803976656679,20700
0.2,22,0.31251779371724814,0.8181818181818182,0.0014920283476509623,1.3976262975425982,0.0909090909090909,0.15477978318259916,0.12301493068797321,20569
0.3,22,0.304043182445908,0.8181818181818182,0.0012220443461494403,1.2678849768906844,0.1818181818181818,0.12447702943402056,0.10266156342364458,22103
0.05,23,0.33323953176542087,0.8636363636363636,0.0019481939708880362,1.387029113427741,0.1818181818181818,0.25820703383195254,0.07556963675048173,19558
0.1,23,0.32751604621360747,0.6818181818181818,0.0015115674110307356,1.6387751620100646,0.0,0.27615938944771706,0.03811013330366915,19212
0.15,23,0.30171654033974943,1.0,0.0041805200552550575,1.186219688310075,0.2727272727272727,0.056065052740449255,0.36274202979899267,20301
0.2,23,0.3046191334869851,0.8181818181818182,0.0019923721435689337,1.1799668731806872,0.2727272727272727,0.07433738012993041,0.2624275084041155,23186
0.3,23,0.3302875283926376,0.9090909090909091,0.001374237275704729,1.4207465680127422,0.1818181818181818,0.14237371828899772,0.09905132724587437,22302
0.05,24,0.32001663929752616,0.7727272727272727,0.0011152387565482931,1.3145042488785534,0.0909090909090909,0.2571340481718003,0.03810901875318463,20626
0.1,24,0.29480874493358805,0.7272727272727273,0.004496603112374201,1.2148847534151623,0.2727272727272727,0.020307890908581115,0.3171365081177732,21529
0.15,24,0.3645991781455281,0.8636363636363636,0.0012762908643121804,1.3249133390148518,0.3636363636363636,0.0811351597580635,0.07339257691654155,23801
0.2,24,0.3479787008471889,0.7727272727272727,0.00105232593969865,1.5175502914311298,0.4545454545454545,0.10360882490609576,0.08291735669787356,22733
0.3,24,0.31181009966420403,0.9090909090909091,0.00185104352837885,1.1372400444980788,0.3636363636363636,0.01900426809389356,0.11797052063305016,23302
0.05,25,0.3039374890669386,0.8636363636363636,0.0038876883765524557,1.2655457436091009,0.3636363636363636,0.11062974581654784,0.11685528124171506,20806
0.1,25,0.3065461146505213,0.9090909090909091,0.001214785116281688,1.3384528872242458,0.2727272727272727,0.08613469067476044,0.22663456409068927,20947
0.15,25,0.3325933145086954,0.9090909090909091,0.00475222943341027,1.6701638940112558,0.1818181818181818,0.12249911477287698,0.12423428221593627,21342
0.2,25,0.3172237536996984,0.8181818181818182,0.0015010189735920497,1.8101458875617096,0.0,0.12117994716881875,0.16659566764168118,19810
0.3,25,0.3273368282029355,0.7272727272727273,0.0014796832020162855,1.3384164589715628,0.2727272727272727,0.264262603902668,0.08436714517269939,19377
0.05,26,0.304256106356105,0.8636363636363636,0.0020850379648805527,1.31565049622658,0.0909090909090909,0.13303729024599326,0.43564448652843635,20446
0.1,26,0.297463160997338,0.8181818181818182,0.002572976400342299,1.5110996833331494,0.1818181818181818,0.10643309246637492,0.2351547545665807,19541
0.15,26,0.31177051535219374,0.8636363636363636,0.002238403141121431,1.7137024723162102,0.0909090909090909,0.06118998243011778,0.13654389774354345,20728
0.2,26,0.3367811545332541,0.8636363636363636,0.002319340534875373,1.5936604275731194,0.0,0.15926385603831975,0.0852993721693618,21404
0.3,26,0.31591115507223183,0.8636363636363636,0.0010218268854435388,1.6991684754337544,0.1818181818181818,0.33502235333802977,0.10829514496322114,18861
0.05,27,0.34095860715314613,0.8636363636363636,0.0024070878931437595,1.2607872052472648,0.2727272727272727,0.09733786666734669,0.06423673680439462,21644
0.1,27,0.30699279258933104,0.7727272727272727,0.0008532692586714516,1.4130204211604562,0.0909090909090909,0.12408759910420401,0.19113042761659033,20258
0.15,27,0.33222980747787356,0.8181818181818182,0.0008839648312931287,1.5562657595469727,0.3636363636363636,0.28873935056600086,0.04393863348120245,20241
0.2,27,0.2734297633668665,0.8181818181818182,0.0030503598364159602,1.4478785900377844,0.0909090909090909,0.010705673025679438,0.32939841249097584,20271
0.3,27,0.3514449871542009,0.8181818181818182,0.002301164628138137,1.124436587610364,0.3636363636363636,0.03843187014956436,0.10948299658332729,23421
0.05,28,0.32136024712106537,0.8181818181818182,0.005864737073735302,1.2503473438771557,0.3636363636363636,0.01541444168840103,0.1982376366390629,22280
0.1,28,0.3130140203719373,0.9090909090909091,0.0029351026473215195,1.48538500227999,0.2727272727272727,0.11680954759664829,0.17953931316946478,20855
0.15,28,0.3650461237644564,0.8636363636363636,0.0019469857355898601,1.2676955518722188,0.4545454545454545,0.08552889474697126,0.07668402729027551,23346
0.2,28,0.296528714061657,0.8636363636363636,0.0020084754612097163,1.4605862005297516,0.0909090909090909,0.13136045922256712,0.2127672917785366,19590
0.3,28,0.3058614841111161,0.8181818181818182,0.002208968417991504,1.211320028906228,0.2727272727272727,0.11925373177318782,0.218463847956947,20746
0.05,29,0.31549713208950214,0.8181818181818182,0.0022846427090605537,1.3252991443725826,0.1818181818181818,0.16997819550411655,0.18643277324702176,19201
0.1,29,0.2800821792300623,0.9545454545454546,0.003721147224357778,1.2777938437473717,0.2727272727272727,0.05267479827294198,0.2523665061707282,21254
0.15,29,0.2997527022635847,0.8636363636363636,0.002537105451564473,1.6718385500738202,0.3636363636363636,0.20498992982119796,0.18703945165573793,18910
0.2,29,0.3143324397252073,0.8181818181818182,0.0012217364635674854,1.301028775849607,0.0,0.1429986662051622,0.09572724725307064,21235
0.3,29,0.3173701209021484,0.7272727272727273,0.0010470055311023172,1.2990915570660837,0.2727272727272727,0.19247230989339295,0.09928441110842458,20446
