version,eps,exper,nodes,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
original,0.5,26,2277,30924,0.014751063357534575,0.4090909090909091,0.01624061241295507,15.931851428103554,0.6363636363636362,0.8318447443215667,0.6423555342075808
improved,0.5,26,2277,5926,0.30345267678666965,0.5,0.04500396462098502,4.050605678925577,0.0909090909090909,0.05227140680763109,0.10097467494362879
original,0.5,27,2277,30110,0.010004736719448112,0.13636363636363635,0.014490269296452628,15.034913063146154,0.6363636363636362,0.8609702611940124,0.677803904945849
improved,0.5,27,2277,4411,0.28701906368722174,0.18181818181818182,0.05583322492234775,4.564111516739663,0.0909090909090909,0.048325111829308834,0.13203905272824928
original,0.5,28,2277,31450,0.01153441270850666,0.09090909090909091,0.025128158728472495,17.312379983538257,0.6363636363636362,0.8349062569609816,0.652199873415985
improved,0.5,28,2277,5605,0.2863565542878019,0.13636363636363635,0.04116548241565548,4.48731659819169,0.0909090909090909,0.06602096748475181,0.17490854429613562
original,0.5,29,2277,30597,0.011058826645668469,0.0,0.023174095805299333,16.358541822375248,0.6363636363636362,0.8591244783652363,0.6625597155824384
improved,0.5,29,2277,4775,0.2897773712610312,0.0,0.06173900048606535,4.996744211614486,0.1818181818181818,0.05441652531504344,0.18517260841925226
original,0.5,30,2277,30417,0.011489472243959315,0.09090909090909091,0.021368001974601484,15.503890249695806,0.6363636363636362,0.8602927472953296,0.6691023384547278
improved,0.5,30,2277,4671,0.28259450260507,0.09090909090909091,0.056537504927280574,4.965532395856144,0.0,0.021544139298892553,0.16693581559971002
original,0.5,31,2277,30803,0.01657027982754036,0.2727272727272727,0.021152311491623225,13.852342366976387,0.6363636363636362,0.799726400287754,0.6372097294707495
improved,0.5,31,2277,6105,0.2999303853066542,0.2727272727272727,0.041664933750897686,3.822349769644765,0.0909090909090909,0.04800225836983442,0.05135434558118788
original,0.5,32,2277,30594,0.02470210814944281,0.6363636363636364,0.02410471800051149,11.507930839985423,0.6363636363636362,0.6855753372948011,0.5978474189801497
improved,0.5,32,2277,7827,0.2999938080500773,0.6363636363636364,0.027678103485106794,3.2668964176498285,0.0909090909090909,0.0970783957873334,0.05029579063425121
original,0.5,33,2277,30034,0.02417967514692835,0.45454545454545453,0.025071248692491777,11.86591278520546,0.6363636363636362,0.67574818034295,0.6262417642276996
improved,0.5,33,2277,6515,0.3073569722018158,0.5,0.028720766438797073,3.633918374051993,0.1818181818181818,0.24973428258187855,0.1235080838217185
original,0.5,34,2277,30554,0.01256732635001641,0.13636363636363635,0.03927684242282356,16.275511624569074,0.6363636363636362,0.858545374740392,0.6653425262050102
improved,0.5,34,2277,4708,0.29050225786324657,0.045454545454545456,0.05763581723716071,5.2722750427927405,0.0909090909090909,0.050739070765473925,0.18709194657621578
original,0.5,35,2277,30906,0.009161189892432602,0.22727272727272727,0.019160717865948265,12.438798627667946,0.6363636363636362,0.8423434874958952,0.6522604417922345
improved,0.5,35,2277,5546,0.3020815978546023,0.18181818181818182,0.026614048052565162,4.131192248076844,0.0909090909090909,0.04985321217495841,0.14379915351880213
original,0.5,36,2277,30671,0.012576147327786936,0.0,0.023027764494642448,14.319773496516826,0.6363636363636362,0.863990910068301,0.6726580397028002
improved,0.5,36,2277,4674,0.29000000351340677,0.09090909090909091,0.049689567333738756,5.132241173315299,0.0,0.002087057204803404,0.16290998425907316
original,0.5,37,2277,30779,0.013178346111436149,0.09090909090909091,0.016515919898118802,12.777388256742395,0.6363636363636362,0.851977908424091,0.6573219617419201
improved,0.5,37,2277,5570,0.29763829652609475,0.09090909090909091,0.0448575344639257,4.346098721108585,0.1818181818181818,0.13812041515438497,0.10548385534166085
original,0.5,38,2277,30396,0.015052057971287891,0.09090909090909091,0.022827363743713445,14.53625554990813,0.6363636363636362,0.866874317568192,0.674597365245453
improved,0.5,38,2277,4586,0.29149094372684764,0.09090909090909091,0.05586620035782688,4.927747633866026,0.0,0.019020646756604333,0.16440917142254477
original,0.5,39,2277,30512,0.012173573919958082,0.22727272727272727,0.015188912400450073,12.95854042320733,0.6363636363636362,0.8074300149416646,0.6185423331436206
improved,0.5,39,2277,7445,0.3061811345790331,0.22727272727272727,0.02765948946728729,3.687856139219479,0.1818181818181818,0.2152538012991949,0.017680174171928326
original,0.5,40,2277,30187,0.013235817514919201,0.18181818181818182,0.015135523623698261,15.334199371396451,0.6363636363636362,0.8666582658168991,0.6813087566007068
improved,0.5,40,2277,4178,0.2838634065091258,0.13636363636363635,0.05928181330217947,5.0510497902009694,0.0909090909090909,0.05256677261864579,0.1696834884776719
original,0.5,41,2277,31397,0.013234054962641031,0.09090909090909091,0.016350475782797556,13.828034888977678,0.6363636363636362,0.8313801979455822,0.6502068340429067
improved,0.5,41,2277,5368,0.29780728973140536,0.09090909090909091,0.06170339947389158,4.519876329021593,0.2727272727272727,0.06746250870757281,0.1703536448859192
original,0.5,42,2277,31106,0.012838180663159395,0.18181818181818182,0.030619948807973172,13.905105583031531,0.6363636363636362,0.8322762052291246,0.643049728913206
improved,0.5,42,2277,5842,0.2970827533461772,0.18181818181818182,0.02539032111790972,4.619545319498951,0.2727272727272727,0.020049560292731642,0.1665307518082885
original,0.5,43,2277,30921,0.015046855978166712,0.09090909090909091,0.014646840293446706,12.485581933207152,0.6363636363636362,0.8444135316461857,0.6591576326220552
improved,0.5,43,2277,5569,0.29169138039104503,0.18181818181818182,0.04653836985451949,4.51029603383618,0.0909090909090909,0.008751535774543082,0.11554283214370327
original,0.5,44,2277,30072,0.011395973618987079,0.3181818181818182,0.01801617028916784,13.50624352639343,0.6363636363636362,0.8114097179696751,0.6239941190753111
improved,0.5,44,2277,6729,0.31172196858559076,0.4090909090909091,0.039145759009481015,4.040807386392877,0.2727272727272727,0.1662607230062256,0.06114552283834305
original,0.5,45,2277,30845,0.013454843043127832,0.18181818181818182,0.036239440876698455,13.845163607411488,0.6363636363636362,0.8534507213225477,0.6551517806218246
improved,0.5,45,2277,5024,0.2803810705804957,0.18181818181818182,0.04840818541063677,4.6236034578890965,0.1818181818181818,0.017160558460852342,0.17667672445428784
original,0.5,46,2277,30510,0.015103010808746499,0.22727272727272727,0.01240962239451482,13.480916482322614,0.6363636363636362,0.8339441064564119,0.6482673718143136
