eps,convert_ratio,oversample,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
1.0,1.0,1.2,8.0,0.12279075396049872,0.6363636363636364,0.0025284650321902623,1.5849026026635027,0.0909090909090909,0.16927561319660445,0.0006520577968908624
1.0,1.0,1.2,9.0,0.119442514577826,0.5909090909090909,0.011350716009279048,1.7922785800100782,0.4545454545454545,0.13825953087641657,0.08146342324519347
1.0,1.0,1.3,0.0,0.11091919357044944,0.0,0.012626243992976354,1.9367692879938647,0.3636363636363636,0.17632037761980637,0.11449258059774599
1.0,1.0,1.3,1.0,0.09219754077965422,0.45454545454545453,0.024516687129012858,2.950667406374332,0.5454545454545454,0.2678477712949792,0.2155268733123082
1.0,1.0,1.3,2.0,0.13891549511938506,0.7727272727272727,0.004803002240795223,1.7848297450684294,0.2727272727272727,0.048549963742309854,0.00017411175968479222
1.0,1.0,1.3,3.0,0.10057242617373605,0.6363636363636364,0.013396147183006961,2.449918005159118,0.0909090909090909,0.5136712479815243,0.08735105956099798
1.0,1.0,1.3,4.0,0.09550212625699311,0.8181818181818182,0.015293297634381786,2.4253859994631997,0.4545454545454545,0.1234253839435964,0.1653439640762197
1.0,1.0,1.3,5.0,0.12146114723048562,0.5909090909090909,0.014718880561965075,1.8365715131444986,0.1818181818181818,0.25127144906971194,0.06901691804334899
1.0,1.0,1.3,6.0,0.09247968492455849,0.0,0.009461566683900823,2.8733437058894706,0.3636363636363636,0.5107765683709216,0.19960784543570673
1.0,1.0,1.3,7.0,0.1424672999840003,0.7272727272727273,0.005989444140215539,1.7411983063807472,0.4545454545454545,0.0792948410443662,0.07063410772779703
1.0,1.0,1.3,8.0,0.12123521531513733,0.8636363636363636,0.014724817886388757,2.1574297993167812,0.5454545454545454,0.13594783903922308,0.05311663836457859
1.0,1.0,1.3,9.0,0.1031616413346623,0.8636363636363636,0.001994058174801839,1.6103499606118028,0.3636363636363636,0.09153269834541211,0.005911547404595442
1.5,1.0,1.0,0.0,0.15433338563300214,0.6818181818181818,0.0017416055316216547,1.3253961012629545,0.4545454545454545,0.39683728078907954,0.015606613794787238
1.5,1.0,1.0,1.0,0.17596358306221768,0.8181818181818182,0.0011738687559927719,1.3388232769963218,0.4545454545454545,0.18839996381426738,0.1358679481619048
1.5,1.0,1.0,2.0,0.19224663387698612,0.8636363636363636,0.008295183994931768,1.2870208205304552,0.0909090909090909,0.08843727153615824,0.31667106008499374
1.5,1.0,1.0,3.0,0.1797148357176218,0.8636363636363636,0.000642888991360216,0.8972299095630196,0.4545454545454545,0.11172924172338906,0.14904929242547385
1.5,1.0,1.0,4.0,0.1507456880564665,0.8181818181818182,0.013595573567096647,1.52562099672725,0.0,0.09631033436329747,0.11714792255518562
1.5,1.0,1.0,5.0,0.16983330890090695,0.7272727272727273,0.0012138118723431317,1.6368596282717207,0.1818181818181818,0.08871293336010505,0.23155784911366709
1.5,1.0,1.0,6.0,0.1514960346231878,0.8636363636363636,0.0018168901532243987,1.118427528396086,0.5454545454545454,0.21435447546438405,0.02827270025797664
1.5,1.0,1.0,7.0,0.16637928702952443,0.8181818181818182,0.0010135909645580684,1.0580303084331069,0.4545454545454545,0.22542952110645031,0.02127803511251501
1.5,1.0,1.0,8.0,0.19468465096543836,0.8181818181818182,0.001611252915183345,1.532229255743621,0.2727272727272727,0.32330208709731156,0.01557841549381805
1.5,1.0,1.0,9.0,0.15384857257065623,0.7272727272727273,0.0049077269681945665,1.1942803459321447,0.3636363636363636,0.15745400525888725,0.03740652217298908
1.5,1.0,1.1,0.0,0.1499350003128548,0.7727272727272727,0.0018605456114242907,1.2382622997949726,0.1818181818181818,0.10631382950372477,0.10073690811891718
1.5,1.0,1.1,1.0,0.1803316215229492,0.7727272727272727,0.0014581948914272633,1.721238539215621,0.1818181818181818,0.2142171872756079,0.032342639703349906
1.5,1.0,1.1,2.0,0.19758309965988355,0.7272727272727273,0.008623506257203761,1.1755481595474806,0.7272727272727272,0.36448797792935267,0.5426826243653456
1.5,1.0,1.1,3.0,0.19135993652755975,0.8181818181818182,0.0010097942551404436,1.5114518592346537,0.2727272727272727,0.2339811399109465,0.10934597697942798
1.5,1.0,1.1,4.0,0.18875004798140496,0.7272727272727273,0.001730579178015628,1.4028346690461564,0.1818181818181818,0.08803948125488464,0.176903308402227
1.5,1.0,1.1,5.0,0.1721957412022325,0.7272727272727273,0.0014504158521535804,1.4660017571809891,0.0909090909090909,0.11742881348421601,0.1591439774893994
1.5,1.0,1.1,6.0,0.14502141829846013,0.7727272727272727,0.0036753527296558355,1.2124099597880025,0.5454545454545454,0.004281215591829745,0.09050803300225574
1.5,1.0,1.1,7.0,0.16241050035898968,0.8181818181818182,0.007818852110323859,1.1152780977719967,0.0909090909090909,0.07865788103563888,0.22702710913936214
1.5,1.0,1.1,8.0,0.2100535008824933,0.7272727272727273,0.0010459553658831563,1.003738979400481,0.3636363636363636,0.07749763952866773,0.26455575844432067
