intra_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.0,18,0.31968002903929094,0.8636363636363636,0.002986315400512007,1.63527270737946,0.1818181818181818,0.17329726950530897,0.23021785339069628,19254
0.05,18,0.3070809126574069,0.8636363636363636,0.001026244957132326,1.5797982873574354,0.0909090909090909,0.36249435753348436,0.14400108652712193,17458
0.1,18,0.3154616736967979,0.7727272727272727,0.0012209427414308915,1.5518802355645644,0.0909090909090909,0.3739021290447474,0.0707408554399727,19086
0.15,18,0.29180309147642897,0.9090909090909091,0.0025471160465969506,1.4081919752033252,0.2727272727272727,0.1456694186358152,0.2237645607456518,19627
0.0,19,0.32541512923660565,0.7727272727272727,0.0018482584934212973,1.4513748912028388,0.0909090909090909,0.1313482966071098,0.3543744268040392,18416
0.05,19,0.3084457323131316,0.6818181818181818,0.003950444741320586,1.5995126203983991,0.0909090909090909,0.08027858104688959,0.31692490675858964,19897
0.1,19,0.315298249036349,0.8181818181818182,0.0016635444103650983,1.7695029335905423,0.0,0.37930940067355556,0.009837312418319408,17492
0.15,19,0.3197300811703096,0.8636363636363636,0.001482778035344936,1.3096959967618762,0.0,0.2178568778667318,0.06334410904058288,21562
0.0,20,0.358711752604649,0.8636363636363636,0.0021493268418215482,1.5656667138688805,0.2727272727272727,0.21021107201067118,0.061782379778327325,21131
0.05,20,0.352831909789737,0.8636363636363636,0.0017845992724262354,1.7232597094442519,0.0909090909090909,0.2225820313902674,0.06481240273815478,20651
0.1,20,0.2800743083368224,0.9090909090909091,0.0025448167561184743,1.2456421922401189,0.2727272727272727,0.04248772063957656,0.20887195923858648,22605
0.15,20,0.2880559898014024,0.7727272727272727,0.0035058652721097804,1.5028861251009102,0.0909090909090909,0.07842412556257614,0.2990151518876712,20175
0.0,21,0.35123550615617044,0.8636363636363636,0.0013627497360579977,1.4919251319358762,0.2727272727272727,0.2733157556825345,0.0768021871594361,19217
0.05,21,0.2870082145514257,1.0,0.004132683749397858,1.1679295721059066,0.3636363636363636,0.02913506653226049,0.22379905426744653,21495
0.1,21,0.3119215494316515,0.7727272727272727,0.0015944198058354933,1.2294348339288834,0.1818181818181818,0.1532118061471607,0.10202269336882257,21026
0.15,21,0.3380682952035225,0.9545454545454546,0.001502923355604636,1.424603456785975,0.3636363636363636,0.1384584750229601,0.05649645923664204,23001
0.0,22,0.3414227827336044,0.8636363636363636,0.0021580398531026957,1.7105479693671688,0.2727272727272727,0.4689600905027959,0.07410097416052094,17496
0.05,22,0.3492708684337156,0.8181818181818182,0.001930109637125929,1.4210157081541732,0.3636363636363636,0.10848933032438794,0.07046016195103345,23121
0.1,22,0.33745706096886957,0.8636363636363636,0.0020142358261006302,1.4950756029352792,0.0909090909090909,0.21221430685269557,0.065255471253731,21136
0.15,22,0.3441573406801894,0.8636363636363636,0.0014785070525573122,1.3807960127638865,0.3636363636363636,0.1193910478854017,0.05453665931937761,23283
0.0,23,0.35228043757807626,0.8636363636363636,0.0017760768117285942,1.4243806038602091,0.3636363636363636,0.10800769521812847,0.06878111547421922,21898
0.05,23,0.3147455117091705,0.8636363636363636,0.0016453346441954357,1.2892317369824977,0.2727272727272727,0.23753673894899743,0.10548903047999907,19686
0.1,23,0.31872342493748806,0.7727272727272727,0.001378559302764957,1.577937496058926,0.0909090909090909,0.1668148198630402,0.13178105193195414,20684
0.15,23,0.332402455524475,0.9090909090909091,0.0010676014969184181,1.6164924032377697,0.0909090909090909,0.3073671164207056,0.04907951581876381,20846
0.0,24,0.3644424056257224,0.9090909090909091,0.0014493693672811136,1.4545849645419389,0.2727272727272727,0.2237460806051157,0.06423202467866068,20746
0.05,24,0.35060758953116994,0.8181818181818182,0.002513778086763936,1.5186969314491876,0.1818181818181818,0.2218572677790621,0.0630693998570226,21195
0.1,24,0.3230733722713822,0.8636363636363636,0.0027849039401968093,1.16709969278508,0.3636363636363636,0.06570143871910183,0.08847145303798731,23333
0.15,24,0.28364246090165646,0.7272727272727273,0.003080038885190012,1.579821305036485,0.5454545454545454,0.05873656749506672,0.3907188293330166,20325
0.0,25,0.3078237408334145,0.7727272727272727,0.005626428200762762,1.3150177953438755,0.3636363636363636,0.06597557046217842,0.34595608591673893,21589
0.05,25,0.3501737910490835,0.8181818181818182,0.0015809122953719043,1.4360105075227434,0.4545454545454545,0.1314566725562787,0.07286705432585801,22305
0.1,25,0.285784002686653,0.7272727272727273,0.005306531170750422,1.7383189401524723,0.0,0.020728537897869593,0.4057993492313436,20510
0.15,25,0.32814779691402063,0.7272727272727273,0.0011506007854827373,1.343696785043608,0.0909090909090909,0.2504132483330183,0.058329187165329775,20468
0.0,26,0.3209198710907961,0.8636363636363636,0.0019859754595164853,1.3647260582150142,0.2727272727272727,0.12905562576361926,0.1697955449036553,20067
0.05,26,0.3458536697748451,0.8636363636363636,0.0011062590686543292,1.7502496220990595,0.1818181818181818,0.2023175007616066,0.07051211178375226,21487
