swap_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.1,17,0.33295449762019075,0.5909090909090909,0.0023609915063645573,1.9584155139820527,0.0,0.3495513189528493,0.017504448203234955,18071
0.3,17,0.29910603459649526,0.7727272727272727,0.0036387117117302357,1.614905202241142,0.0909090909090909,0.06525036008924946,0.36662658361623257,19515
0.5,17,0.30480048770698664,0.8181818181818182,0.001205787631340642,1.5934766474539654,0.0,0.12123993062188328,0.2240559832760826,19426
0.7,17,0.37309793967160976,0.9090909090909091,0.0031856679973573487,1.4505727913351736,0.3636363636363636,0.08063689827932614,0.06953286339058037,23741
0.0,18,0.32888454653941507,0.9090909090909091,0.002478951681353546,1.4905852794744154,0.0909090909090909,0.18905172735307557,0.07960714770916057,20554
0.1,18,0.35702093247698513,0.9090909090909091,0.0016053958716992355,1.603700753753548,0.0909090909090909,0.24080667369395642,0.07589436145123171,20934
0.3,18,0.34345654349363447,0.8181818181818182,0.0017336133489216372,1.303072700159061,0.2727272727272727,0.179415512611874,0.056956432379961085,21694
0.5,18,0.3378107169010632,0.8636363636363636,0.002354441421127737,1.3822008587656756,0.2727272727272727,0.22740619303573817,0.07731942999851411,20096
0.7,18,0.3269518547764891,0.7727272727272727,0.0010730227003203816,1.2200553694140182,0.1818181818181818,0.29530160799536603,0.10635989945058705,18803
0.0,19,0.3365783052001671,0.8636363636363636,0.0016755008395983714,1.334744813023902,0.0909090909090909,0.20405468558591108,0.0813595681842847,20744
0.1,19,0.31091695222423554,0.8181818181818182,0.001568643439450053,1.5986363620735042,0.1818181818181818,0.14086094623874967,0.17899759455752412,19980
0.3,19,0.3062057538896739,0.9545454545454546,0.0028301983144541952,1.4716994172764384,0.0909090909090909,0.03363629831304155,0.23930478590530666,20914
0.5,19,0.33443702415654125,0.8636363636363636,0.002731843382096949,1.4540561799379281,0.2727272727272727,0.14753190838853372,0.12126164753585177,20479
0.7,19,0.34681496319876104,0.8636363636363636,0.0015804766982209682,1.5732868955922665,0.3636363636363636,0.09123812518339032,0.07482394533473222,23156
0.0,20,0.3102289137750039,0.8181818181818182,0.0015725063283201898,1.3669887720690435,0.1818181818181818,0.20674588410668196,0.11744964612052822,19752
0.1,20,0.2866113655510723,0.7727272727272727,0.004992440737715979,1.0585447759902216,0.1818181818181818,0.0938531217328918,0.26498344819583564,22635
0.3,20,0.2825698009863719,0.8636363636363636,0.0024372402658286887,2.22547887746726,0.0909090909090909,0.0033092455274229293,0.24890414684628168,18866
0.5,20,0.34254517375073507,0.8181818181818182,0.001564334140079465,1.6729798483920588,0.1818181818181818,0.2238014180810871,0.05221440878285034,20300
0.7,20,0.34447645243679037,0.8636363636363636,0.00161204707491976,1.5019030773268822,0.0909090909090909,0.2407223687301645,0.05495445566861069,20756
0.0,21,0.32228415680137307,0.8636363636363636,0.0011614907037336155,1.574369052908899,0.1818181818181818,0.05159111243921938,0.2423253798843247,21093
0.1,21,0.3106806300972741,0.8181818181818182,0.0019068488641378995,1.3970580606314331,0.1818181818181818,0.11032743821724633,0.2322136922555701,19627
0.3,21,0.35684532994360724,0.7727272727272727,0.0020933897499858843,1.390215051990765,0.2727272727272727,0.19388686367025468,0.054286875395757335,21714
0.5,21,0.3597706606250039,0.8636363636363636,0.0009345498163370338,1.3177023916149673,0.0909090909090909,0.2059078422961669,0.053226213721033984,21782
0.7,21,0.297378867651998,0.7272727272727273,0.005114116016760041,1.1783258919538167,0.2727272727272727,0.03941146875114428,0.2217013474066206,21104
0.0,22,0.3350989926586269,0.8181818181818182,0.0012982265150883717,1.7431444745243518,0.1818181818181818,0.4585712365027794,0.020450241245041703,17927
0.1,22,0.2982798153969917,0.8181818181818182,0.0017400852850397253,1.4951610283913852,0.0909090909090909,0.08552697107967511,0.2420435057979591,19931
0.3,22,0.356654343801762,0.8636363636363636,0.000851506947394488,1.8538720380635043,0.2727272727272727,0.22918974813499213,0.058015620212429314,20693
0.5,22,0.3498467179210604,0.8636363636363636,0.0012420333590106379,1.8291862381260988,0.2727272727272727,0.21402322008129238,0.04971458323810608,20908
0.7,22,0.3520340987961534,0.9545454545454546,0.001445186457007648,1.5831910618616232,0.1818181818181818,0.21572105769146221,0.07763593119829872,20827
