dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,1,0.5,0.5,0.1647327526090561,0.6090909090909091,0.011900455564688902,2.5725442218280765,0.5272727272727271,0.32740953615979607,0.14252686243738474,13415.4
Chamelon,1,0.5,0.6,0.17259178770113737,0.5454545454545455,0.005452156989876754,2.2003206907488853,0.3636363636363636,0.2716038399988963,0.14399896454093017,14963.6
Chamelon,1,0.5,0.7,0.1726476717429562,0.7272727272727273,0.004103026509529785,2.140026423785629,0.6363636363636362,0.3346973136571819,0.2084685779877197,15379.0
Chamelon,1,0.5,0.8,0.16849949180011167,0.7,0.007723958599652856,2.191892029938776,0.5999999999999999,0.2901276200375872,0.18397084939076325,15380.2
Chamelon,1,0.5,0.9,0.17140879090430564,0.6727272727272727,0.005362683176424449,2.4539617055291645,0.5818181818181818,0.2932995709862597,0.33399364496557593,15613.8
Chamelon,1,0.5,1.0,0.16139785603844822,0.7454545454545454,0.0019980999576832805,2.403574035565829,0.6363636363636364,0.395693405740024,0.23483427163433604,14009.6
Chamelon,1.5,0.1,0.1,0.29752044825533547,0.8545454545454545,0.0013054927075001833,1.5586594057487013,0.1818181818181818,0.22529731714095966,0.14491319119439874,19570.8
Chamelon,1.5,0.1,0.2,0.25371860145368197,0.8545454545454545,0.0018585960926959973,1.6462271810260394,0.05454545454545454,0.13979790099033168,0.28804675425398757,18378.4
Chamelon,1.5,0.1,0.3,0.2637297344411048,0.8454545454545455,0.0015910054433439674,1.5075695315125437,0.18181818181818182,0.17914609951979438,0.21992539374320613,19199.4
Chamelon,1.5,0.1,0.4,0.2678788592533142,0.809090909090909,0.0018590340633800177,1.4123281561932879,0.19999999999999998,0.09232511884942717,0.2116555305304088,20955.8
Chamelon,1.5,0.1,0.5,0.2477357474067138,0.8636363636363636,0.0029487730446112227,1.6118959325275863,0.10909090909090909,0.09105103022362734,0.26539213393740396,20480.2
Chamelon,1.5,0.1,0.6,0.254000456767452,0.8454545454545455,0.003913443139192746,1.4410972958024615,0.14545454545454545,0.05998932606925802,0.2858335169944691,21579.6
