mode,e3_target,eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,7,0.11098796726774364,0.7272727272727273,0.007178955242104507,0.9342583382314947,0.3636363636363636,0.14064632424448117,0.3913737424206597
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,8,0.17357466120840892,0.6818181818181818,0.001290419502534399,0.822698670769138,0.2727272727272727,0.08919890952914408,0.30384596370920275
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,9,0.16400578519595982,0.7727272727272727,0.0021880317698458342,0.8205519912986036,0.3636363636363636,0.1137321327121325,0.1806619340390163
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,0,0.23261312052571295,0.7272727272727273,0.0021417579684477484,0.9424854739263604,0.1818181818181818,0.03884029131087189,0.17100882395684597
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,1,0.17382049007822942,0.8636363636363636,0.004864905132589587,0.8874493028885058,0.1818181818181818,0.2186325772559205,0.34217099898400566
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,2,0.13496339810452748,0.7272727272727273,0.007358044037959251,0.8986539980680373,0.3636363636363636,0.24347876389714784,0.39094241399897456
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,3,0.14279564133491782,0.7727272727272727,0.005429215759865451,0.9428446610352984,0.2727272727272727,0.2103133511996864,0.33974539852030455
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,4,0.20879120145272703,0.7727272727272727,0.0018250165089900275,0.9232384156022089,0.2727272727272727,0.011298195813725107,0.1546006866503402
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,5,0.22846908252270282,0.8181818181818182,0.0036140363499311376,0.9247121025679083,0.1818181818181818,0.008060963901869247,0.13378182104392594
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,6,0.17940425540074229,0.7727272727272727,0.004011402176135583,0.8327924704077305,0.0,0.21924657177946066,0.31686420298586065
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,7,0.2317782437545836,0.8636363636363636,0.0029026001746692218,1.0641370454019774,0.1818181818181818,0.04858225306148556,0.1421034582631392
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,8,0.20197677520038632,0.8181818181818182,0.002492822287235479,0.8097779624918628,0.2727272727272727,0.03707429290078518,0.15743962429085134
sweep_e3=0.05,0.05,3,0.2339,0.7161,0.05,9,0.16367414919692624,0.7272727272727273,0.00553229147133397,0.8356821262193135,0.3636363636363636,0.16966509933845175,0.266396729252842
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,0,0.09281875848534855,0.7727272727272727,0.0042294306969121055,3.3746883998042683,0.5454545454545454,0.07084484419398743,0.3924677520165346
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,1,0.10273924808612347,0.8181818181818182,0.004703510572243361,4.136086675553563,0.5454545454545454,0.059876963826173586,0.3481457683455787
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,2,0.08957490040506669,0.6363636363636364,0.004300153642426344,3.0867039601006763,0.5454545454545454,0.033010573185386985,0.37517714989815354
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,3,0.10344381155188136,0.6363636363636364,0.006682685390664475,4.237194727044014,0.5454545454545454,0.12770498456762952,0.39331282512413346
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,4,0.09764579382445811,0.7272727272727273,0.0031313030308623775,2.898654125558218,0.5454545454545454,0.13719969764794632,0.39912024757759745
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,5,0.08078821400556416,0.6363636363636364,0.005295304955575755,7.843429087303227,0.5454545454545454,0.14226303100031212,0.43623452536417023
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,6,0.0992025354237375,0.5454545454545454,0.006053985205493742,6.532996899813566,0.5454545454545454,0.0523090308610792,0.39486741878910875
