variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
both,2.0,6,111819,0.3983892935888927,0.9583333333333334,0.0035920839086592805,1.287383276437704,0.46153846153846145,0.4967853244692692,0.1849789398959846
none,2.0,7,115225,0.382173718901077,0.9666666666666667,0.0024635693368414723,1.1856803367943722,0.46153846153846145,0.45465171536438825,0.12430980612044981
stage1,2.0,7,115225,0.38349013796245457,0.9666666666666667,0.002522823313018536,1.1961660913280259,0.46153846153846145,0.4551917525124877,0.12428659596210355
stage2,2.0,7,113035,0.39764459460554963,0.9666666666666667,0.0024621074414799115,1.2750436025497305,0.46153846153846145,0.440836978705526,0.1099290982002574
both,2.0,7,113035,0.39716857846741505,0.9666666666666667,0.002524928843802034,1.2973020976693344,0.3846153846153846,0.4413713170368495,0.10981814763113835
none,2.0,8,113411,0.38373178047404,0.9666666666666667,0.0032587790899534256,1.2079027457680351,0.3846153846153846,0.5099725812802826,0.2074113695978417
stage1,2.0,8,113411,0.3852956809837238,0.9666666666666667,0.0033654060035635406,1.2336037525173682,0.3846153846153846,0.5103380210890774,0.20734027842598365
stage2,2.0,8,111312,0.39832916620024816,0.9666666666666667,0.0032575854029805746,1.2901869090424336,0.3846153846153846,0.49832225261422375,0.1954567316488751
both,2.0,8,111312,0.39911357182414925,0.9666666666666667,0.003347808807653274,1.2957239314317965,0.46153846153846145,0.4986893431893798,0.19548432360152776
none,2.0,9,115469,0.37635060665647346,0.975,0.0027779062049021683,1.156691003219029,0.3846153846153846,0.5105408243717611,0.19531729511065676
stage1,2.0,9,115469,0.3773080024214456,0.975,0.0028819769722423097,1.1350566599060787,0.3846153846153846,0.5124870400793886,0.19527414235522017
stage2,2.0,9,113495,0.38930963796371915,0.975,0.002775527594204381,1.2570119428071944,0.3846153846153846,0.49963666067385964,0.18183055562986583
both,2.0,9,113495,0.390886098199791,0.975,0.0028425682978603134,1.118888931103532,0.3846153846153846,0.5009248510504092,0.18177166329153363
